mean,std,len,num
,,4,
,,5,
,,6,
,,7,
,,8,
,,9,
,,10,
2557.561020408163,0.0,11,1
,,12,
,,13,
,,14,
,,15,
,,16,
2516.434397190471,0.0,17,5
,,18,
2308.822936357908,7.852551984877209,19,2
2936.595481268992,112.40002689168494,20,9
2388.622884012078,156.7245449995931,21,5
2813.970883445882,52.8284163496897,22,3
2931.4220024987894,0.0,23,1
,,24,
2663.812311037068,8.834711037068018,25,2
3030.4376301541024,0.0,26,2
,,27,
,,28,
,,29,
,,30,
,,31,
2932.640571328766,0.0,32,1
,,33,
,,34,
,,35,
,,36,
,,37,
,,38,
,,39,
,,40,
,,41,
,,42,
,,43,
,,44,
,,45,
